,mid,title,released,director,boxoffice,inf_adj_boxoffice,cr,wicar
2011,tt1628055,Touchback,04-13-2012,Don Handfield,"$204,232",243015.6568,0,0
2863,tt0387575,Seed of Chucky,11-12-2004,Don Mancini,"$17,083,732",23211666.67,0,0
3546,tt2230358,Curse of Chucky,09-24-2013,Don Mancini,0,0,17083732,1338106.392
463,tt3280262,Cult of Chucky,10-03-2017,Don Mancini,0,0,17083732,321279.3448
1381,tt6260318,10 Kalpanakal,11-25-2016,Don Max,0,0,0,0
229,tt0087073,Coming Out Alive,12-12-1983,Don McBrearty,0,0,0,0
81,tt2319580,The Grand Seduction,05-30-2014,Don McKellar,"$3,430,018",3936631.659,0,0
908,tt0297162,Half Past Dead,11-15-2002,Don Michael Paul,"$15,567,860",21809015.07,0,0
287,tt4763168,Kindergarten Cop 2,05-17-2016,Don Michael Paul,0,0,15567860,3665441.163
3439,tt6515214,Lone Star Deception,04-06-2019,Don Okolo,0,0,0,0
3489,tt2331205,The Land,03-16-2012,"Don Okolo, Chris Ulasi",0,0,0,0
1367,tt0120777,The Opposite of Sex,05-22-1998,Don Roos,"$5,881,367",8735594.405,0,0
3306,tt0186894,Bounce,11-17-2000,Don Roos,"$36,805,288",53113711.11,5881367,4879.230125
3223,tt0361693,Happy Endings,07-29-2005,Don Roos,"$1,315,701",1759881.658,42686655,176528.6425
2945,tt1032825,Love and Other Impossible Pursuits,10-28-2010,Don Roos,"$25,423",31323.6783,44002356,38289.15872
2033,tt0790628,The Incredible Burt Wonderstone,03-15-2013,Don Scardino,"$22,537,881",26342275.31,0,0
1441,tt0084173,Jinxed!,10-22-1982,Don Siegel,"$2,869,638",5231063.11,0,0
1628,tt0080736,The Final Countdown,08-01-1980,Don Taylor,"$16,647,800",31049811.78,0,0
2087,tt12406160,The Last Regret,07-30-2020,Don Tjernagel,0,0,0,0
16,tt12757372,RED,08-08-2020,Don Tjernagel,0,0,0,0
2131,tt0157075,The Suburbans,01-19-2000,Donal Lardner Ward,"$11,130",16061.703,0,0
1652,tt0413356,"Tennis, Anyone...?",01-01-2006,Donal Logue,0,0,0,0
757,tt0114941,Wild Side,06-22-1996,Donald Cammell,0,0,0,0
179,tt0093171,Hell Comes to Frogtown,01-01-1988,"Donald G. Jackson, R.J. Kizer",0,0,0,0
1722,tt2350374,The Senior Prank,11-20-2014,Donald Leow,0,0,0,0
3525,tt0107153,Housewife from Hell,05-11-1994,"Donald M. Jones, James C. Lane",0,0,0,0
1028,tt0095690,Mystic Pizza,10-21-1988,Donald Petrie,"$12,793,213",21701127.21,0,0
1873,tt0100301,Opportunity Knocks,03-30-1990,Donald Petrie,"$11,359,129",18789135.28,12793213,342.3903636
1960,tt0107050,Grumpy Old Men,12-25-1993,Donald Petrie,"$70,172,621",111630605.5,24152342,864.2906757
4112,tt0109783,The Favor,04-29-1994,Donald Petrie,"$3,134,381",4920037.856,94324963,7335.567593
975,tt0115580,The Associate,10-25-1996,Donald Petrie,"$12,844,057",19619297.07,97459344,660.7945875
3828,tt0120764,My Favorite Martian,02-12-1999,Donald Petrie,"$36,850,101",53955917.88,110303401,7671.052422
1298,tt0212346,Miss Congeniality,12-22-2000,Donald Petrie,"$106,807,667",154134144.2,147153502,30141.13941
3965,tt0251127,How to Lose a Guy in 10 Days,02-07-2003,Donald Petrie,"$105,813,373",146001292.1,253961169,251043.2186
343,tt0361925,Welcome to Mooseport,02-20-2004,Donald Petrie,"$14,470,947",19661675.69,359774542,340227.5593
1342,tt0397078,Just My Luck,05-12-2006,Donald Petrie,"$17,326,650",22810534.73,374245489,94960.26599
2483,tt0865559,My Life in Ruins,06-05-2009,Donald Petrie,"$8,665,206",10859236.16,391572139,317041.5347
1176,tt6957966,Little Italy,09-21-2018,Donald Petrie,"$990,230",1052911.559,400237345,3833463.249
2612,tt1843156,Forgotten Soldiers,01-18-2012,Donald Plata,0,0,0,0
467,tt1159922,Cheerful Weather for the Wedding,08-16-2012,Donald Rice,"$2,651",3154.4249,0,0
2407,tt0082506,Heartaches,11-19-1982,Donald Shebib,0,0,0,0
2672,tt0090851,The Climb,05-15-1987,Donald Shebib,0,0,0,0
759,tt8594376,L'uomo del labirinto,10-09-2020,Donato Carrisi,0,0,0,0
3795,tt1783258,Dalaw,12-25-2010,Dondon S. Santos,0,0,0,0
2035,tt1773370,Die xue gu cheng,08-19-2010,Dong Shen,0,0,0,0
163,tt0875025,Tajja,09-28-2006,Dong-hoon Choi,0,0,0,0
154,tt1274293,Jeon Woochi,12-23-2009,Dong-hoon Choi,0,0,0,0
186,tt2330866,Dodookdeul,07-25-2012,Dong-hoon Choi,"$685,839",816079.8261,0,0
644,tt3501416,Amsal,08-07-2015,Dong-hoon Choi,"$1,904,682",2145814.741,685839,96010.97546
2941,tt6931058,Wiretap,08-16-2019,Dong-hoon Choi,0,0,2590521,1098494.601
474,tt4203216,Geo-jin-mal,11-01-2015,Dong-myung Kim,0,0,0,0
398,tt3479250,Nam-ja-ga sa-rang-hal dae,01-22-2014,Dong-wook Han,0,0,0,0
1270,tt0443771,Robotech: The Shadow Chronicles,01-05-2007,"Dong-Wook Lee, Tommy Yune",0,0,0,0
701,tt2201532,The Adventures of Beatle,12-22-2015,Donna Robinson,0,0,0,0
3850,tt0172711,Chin long chuen suet,06-14-1997,Donnie Yen,0,0,0,0
2750,tt0162874,"Sat sat yan, tiu tiu mo",03-21-1998,Donnie Yen,0,0,0,0
3771,tt0205395,San Tong San daai hing,07-03-1998,Donnie Yen,0,0,0,0
3033,tt1059969,Spud,12-03-2010,Donovan Marsh,0,0,0,0
950,tt2262270,Spud 2: The Madness Continues,06-06-2013,Donovan Marsh,0,0,0,0
474,tt1846589,Hunter Killer,10-26-2018,Donovan Marsh,"$15,767,460",16765540.22,0,0
1094,tt0342810,Naeshi,09-18-1986,Doo-yong Lee,0,0,0,0
2648,tt0087666,Making the Grade,05-18-1984,Dorian Walker,"$4,561,346",8122388.822,0,0
1994,tt0098453,Teen Witch,04-28-1989,Dorian Walker,"$27,843",46642.5936,4561346,89.70590996
1968,tt4218538,Girl Flu.,06-06-2016,Dorie Barton,0,0,0,0
4647,tt0110251,Keiner liebt mich,01-12-1995,Doris Dörrie,0,0,0,0
544,tt3956896,Auf den Barockaden,10-03-2014,Doris Kittler,0,0,0,0
616,tt3262342,Loving Vincent,09-22-2017,"Dorota Kobiela, Hugh Welchman","$6,735,118",7303561.959,0,0
3276,tt0304389,Meisje,09-04-2002,Dorothée Van Den Berghe,0,0,0,0
1200,tt1272041,My Queen Karo,10-28-2009,Dorothée Van Den Berghe,0,0,0,0
252,tt0437800,Akeelah and the Bee,04-28-2006,Doug Atchison,"$18,848,430",24813958.1,0,0
2859,tt0431461,Waltzing Anna,08-11-2006,"Doug Bollinger, Bx Giongrete","$11,455",15080.5075,0,0
847,tt8974352,Odd Man Rush,09-01-2020,Doug Dearth,0,0,0,0
3031,tt0120723,Kissing a Fool,02-27-1998,Doug Ellin,"$4,106,588",6099515.156,0,0
1496,tt1674771,Entourage,06-03-2015,Doug Ellin,"$32,363,404",36460610.95,4106588,717601.8586
2521,tt1753449,Art Machine,10-12-2012,Doug Karr,0,0,0,0
454,tt0462396,The Last Legion,08-17-2007,Doug Lefler,"$5,933,494",7686248.128,0,0
4139,tt0117802,Swingers,04-11-1997,Doug Liman,"$4,555,020",6861682.128,0,0
459,tt0139239,Go,04-09-1999,Doug Liman,"$16,943,454",24808605.35,4555020,2682.794921
3133,tt0258463,The Bourne Identity,06-14-2002,Doug Liman,"$121,661,683",170435851.7,21498474,28282.12729
2738,tt0356910,Mr. & Mrs. Smith,06-10-2005,Doug Liman,"$186,336,279",249243406.8,143160157,566502.2725
1133,tt0489099,Jumper,02-14-2008,Doug Liman,"$80,172,128",102163342.7,329496436,2420383.488
1266,tt1631867,Edge of Tomorrow,06-06-2014,Doug Liman,"$100,206,256",115006720,409668564,8612919.562
340,tt4218696,The Wall,05-18-2017,Doug Liman,"$1,803,064",1955242.602,509874820,29681075.46
2265,tt3532216,American Made,09-29-2017,Doug Liman,"$51,342,000",55675264.8,511677884,7595879.967
2294,tt13061914,Locked Down,01-14-2021,Doug Liman,0,0,563019884,63271144.77
1789,tt2076822,Chaos Walking,03-05-2021,Doug Liman,"$13,287,908",13287908,563019884,63271144.77
4419,tt0110186,Jason's Lyric,09-28-1994,Doug McHenry,"$20,851,521",32730632.51,0,0
311,tt0246002,Kingdom Come,04-11-2001,Doug McHenry,"$23,249,649",33061000.88,20851521,26116.51346
3155,tt7375242,Year 3000,01-11-2018,Doug Sweetland(co-director),0,0,0,0
3077,tt0144964,Highlander: Endgame,09-01-2000,Douglas Aarniokoski,"$12,811,858",18488792.28,0,0
4010,tt1056036,Animals,06-15-2010,Douglas Aarniokoski,0,0,12811858,365583.8342
502,tt1756799,The Day,09-20-2012,Douglas Aarniokoski,"$20,984",24968.8616,12811858,14752.62637
2588,tt10345590,Comment je suis devenu super-héros,07-09-2021,Douglas Attal,0,0,0,0
536,tt0097756,Listen to Me,05-05-1989,Douglas Day Stewart,"$4,299,023",7201723.33,0,0
994,tt3311862,Fragmented,04-25-2016,Douglas Elford-Argent,0,0,0,0
2612,tt0088816,Blackout,07-28-1985,Douglas Hickox,0,0,0,0
1682,tt0100926,Whispers,12-07-1990,Douglas Jackson,0,0,0,0
4138,tt0157515,Dead End,11-10-1998,Douglas Jackson,0,0,0,0
612,tt0141120,The Ghost,05-15-2001,Douglas Jackson,0,0,0,0
2889,tt0251308,Nowhere in Sight,11-20-2001,Douglas Jackson,0,0,0,0
3843,tt0103629,Age Isn't Everything,11-26-1991,Douglas Katz,0,0,0,0
1878,tt0381361,The Last Sign,09-14-2005,Douglas Law,0,0,0,0
189,tt0472268,The Flying Scotsman,06-29-2007,Douglas Mackinnon,"$171,817",222571.7418,0,0
2857,tt0116191,Emma,08-30-1996,Douglas McGrath,"$22,231,658",33958857.6,0,0
2057,tt0309912,Nicholas Nickleby,06-27-2003,Douglas McGrath,"$1,587,173",2189981.305,22231658,55299.06548
2130,tt0420609,Infamous,10-13-2006,Douglas McGrath,"$1,151,330",1515725.945,23818831,10659.60667
879,tt1742650,I Don't Know How She Does It,09-16-2011,Douglas McGrath,"$9,662,284",11701025.92,24970161,43116.61388
2283,tt0085271,Brainstorm,09-30-1983,Douglas Trumbull,"$10,219,460",18413423.03,0,0
190,tt7993338,Kadha Paranja Kadha,02-09-2018,Dr. Siju Jawahar,0,0,0,0
2867,tt1200273,Spooner,01-18-2009,Drake Doremus,0,0,0,0
1701,tt1758692,Like Crazy,01-27-2012,Drake Doremus,"$3,395,391",4040175.751,0,0
2178,tt1999987,Breathe In,07-19-2013,Drake Doremus,"$89,661",104795.7768,3395391,232908.0921
3089,tt3289728,Equals,05-26-2016,Drake Doremus,"$33,258",36766.719,3485052,56757.88924
552,tt6408226,Newness,11-03-2017,Drake Doremus,0,0,3518310,22455.25844
551,tt6010628,Zoe,07-20-2018,Drake Doremus,0,0,3518310,7702.153645
61,tt9147456,"Endings, Beginnings",05-01-2020,Drake Doremus,0,0,3518310,5391.507551
1140,tt2056555,Digital Media: New Learners of the 21st Century,02-13-2011,Drea Cooper,0,0,0,0
992,tt1172233,Whip It,10-02-2009,Drew Barrymore,"$13,043,363",16345942.51,0,0
4059,tt1895486,Monk3ys,10-04-2011,Drew Cullingham,0,0,0,0
461,tt1259521,The Cabin in the Woods,04-13-2012,Drew Goddard,"$42,073,277",50062992.3,0,0
966,tt6628394,Bad Times at the El Royale,10-12-2018,Drew Goddard,"$17,839,115",18968330.98,42073277,17171606.36
3200,tt2546764,Sons of Liberty,07-06-2013,Drew Hall,0,0,0,0
792,tt3148552,Convergence,03-15-2017,Drew Hall,0,0,0,0
2166,tt5834262,Hotel Artemis,06-08-2018,Drew Pearce,"$6,708,147",7132772.705,0,0
4124,tt7027690,Ice Cream in the Cupboard,08-07-2019,Drew Pollins,0,0,0,0
28,tt1127221,Not Forgotten,09-11-2009,Dror Soref,"$53,744",67351.9808,0,0
2005,tt2990816,Bypass,05-11-2015,Duane Hopkins,0,0,0,0
2313,tt8792882,The Guest,07-10-2019,Duccio Chiarini,0,0,0,0
521,tt2401878,Anomalisa,03-11-2016,"Duke Johnson, Charlie Kaufman","$3,759,286",4155890.673,0,0
549,tt0216171,Sagar Sangam,02-02-1988,Dulal Guha,0,0,0,0
2539,tt4448290,Bark Ranger,04-14-2015,Duncan Christie,0,0,0,0
2623,tt0091053,Fire with Fire,05-09-1986,Duncan Gibbins,"$4,636,169",8059979.807,0,0
3609,tt1182345,Moon,07-10-2009,Duncan Jones,"$5,010,163",6278736.272,0,0
1994,tt0945513,Source Code,04-01-2011,Duncan Jones,"$54,712,227",66256506.9,5010163,177358.7592
883,tt0803096,Warcraft,06-10-2016,Duncan Jones,"$47,365,290",52362328.1,59722390,11165539.8
1672,tt1464763,Mute,02-23-2018,Duncan Jones,0,0,107087680,21790058.69
2133,tt0379380,Method,06-24-2004,Duncan Roy,0,0,0,0
1264,tt3249660,The Last of the Great Romantics,07-17-2014,Duncan Skiles,0,0,0,0
2080,tt6269368,The Clovehitch Killer,11-16-2018,Duncan Skiles,"$8,208",8727.5664,0,0
1234,tt0407265,Transamerica,03-03-2006,Duncan Tucker,"$9,015,303",11868646.4,0,0
1760,tt1134664,Boogie Woogie,09-29-2017,Duncan Ward,"$2,618",2838.9592,0,0
455,tt3377240,Texas Rein,07-05-2016,Durrell Nelson,0,0,0,0
2475,tt0088931,The Coca-Cola Kid,07-14-1985,Dusan Makavejev,0,0,0,0
2678,tt0097826,Manifesto,01-27-1989,Dusan Makavejev,"$70,060",117364.512,0,0
339,tt1320115,Travelator,11-20-2014,Dusan Milic,0,0,0,0
2915,tt1480670,Samuel Bleak,03-05-2013,Dustin Dugas Schuetter,0,0,0,0
502,tt5113250,Warning Shot,09-06-2018,Dustin Fairbanks,0,0,0,0
1040,tt1628034,Bad Fever,03-11-2011,Dustin Guy Defa,0,0,0,0
2054,tt1441951,Quartet,03-01-2013,Dustin Hoffman,"$18,390,117",21494368.75,0,0
919,tt1440379,Virginia,05-18-2012,Dustin Lance Black,"$12,728",15145.0472,0,0
352,tt2326574,The Identical,09-05-2014,Dustin Marcellino,"$2,827,666",3245312.268,0,0
2678,tt4418730,As It's Remembered,12-01-2018,Dustin McLean,0,0,0,0
762,tt2098799,A Country Christmas,10-27-2013,Dustin Rikert,0,0,0,0
2701,tt4286432,A Mermaid's Tale,05-16-2017,Dustin Rikert,0,0,0,0
3069,tt5079608,You're Gonna Miss Me,06-06-2017,Dustin Rikert,0,0,0,0
847,tt4794754,The Great & The Small,03-31-2016,Dusty Bias,0,0,0,0
306,tt10183490,Aart,05-20-2016,"Dutta Gaykar, Rajendra Sali",0,0,0,0
1756,tt0107131,Homeward Bound: The Incredible Journey,02-12-1993,Duwayne Dunham,"$41,833,324",66548451.82,0,0
179,tt0110364,Little Giants,10-14-1994,Duwayne Dunham,"$19,306,362",30305196.43,41833324,4373.055981
1131,tt0176948,Love and Action in Chicago,10-09-2002,Dwayne Johnson-Cochran,0,0,0,0
2690,tt0137186,Ramming Speed,04-19-1997,Dwight Greene,0,0,0,0
2514,tt0098090,The Phantom of the Opera,11-03-1989,Dwight H. Little,"$3,953,745",6623313.624,0,0
2262,tt0100114,Marked for Death,10-05-1990,Dwight H. Little,"$46,044,396",76162035.42,3953745,104.4995837
374,tt0113114,Free Willy 2: The Adventure Home,07-19-1995,Dwight H. Little,"$30,077,111",46577414.09,49998141,7149.70591
1780,tt0119731,Murder at 1600,04-18-1997,Dwight H. Little,"$25,804,707",38872210.62,80075252,8924.728096
634,tt0366174,Anacondas: The Hunt for the Blood Orchid,08-27-2004,Dwight H. Little,"$32,238,923",43803024.68,105879959,90449.38502
486,tt5833186,Last Rampage: The Escape of Gary Tison,09-22-2017,Dwight H. Little,"$6,294",6825.2136,138118882,10538823.12
12,tt0179473,"South of Heaven, West of Hell",01-28-2000,Dwight Yoakam,"$28,149",40621.8219,0,0
495,tt2304459,23 Blast,10-24-2014,Dylan Baker,"$549,185",630299.6245,0,0
1993,tt2375906,Scavenger Killers,07-01-2014,Dylan Bank,0,0,0,0
1580,tt3327432,Rock Story,08-01-2015,Dylan Bank,0,0,0,0
2030,tt2145821,Nothing Sacred,04-21-2015,"Dylan Bank, Morgan Pehme",0,0,0,0
198,tt6428676,Wonder Park,03-15-2019,Dylan Brown,"$45,216,793",47124941.66,0,0
596,tt0299117,Roger Dodger,11-22-2002,Dylan Kidd,"$1,266,828",1774699.345,0,0
1160,tt0380609,P.S.,02-10-2005,Dylan Kidd,"$180,503",241440.8128,1266828,5897.846012
166,tt1468846,Get a Job,07-18-2016,Dylan Kidd,0,0,1447331,41570.20839
2300,tt0435645,Four Lane Highway,06-01-2007,Dylan McCormick,"$1,393",1804.4922,0,0
2241,tt6054874,Legenda o Kolovrate,11-30-2017,"Dzhanik Fayziev, Ivan Shurkhovetskiy","$9,996",10839.6624,0,0
2969,tt0189998,Shadow of the Vampire,01-26-2001,E. Elias Merhige,"$8,293,784",11793760.85,0,0
1858,tt0324127,Suspect Zero,08-27-2004,E. Elias Merhige,"$8,725,813",11855762.12,8293784,27435.88648
448,tt0106266,Amos & Andrew,03-05-1993,E. Max Frye,"$9,745,803",15503623.41,0,0
2166,tt1579849,Ottesi Chepthunna,04-26-2003,E. Satthi Babu,0,0,0,0
1909,tt2928840,Nobility,06-27-2017,E.J. De la Pena,0,0,0,0
969,tt2389182,Cheap Thrills,03-21-2014,E.L. Katz,"$59,424",68200.9248,0,0
3961,tt5717492,Small Crimes,04-28-2017,E.L. Katz,0,0,59424,16375.04204
4742,tt0282554,Hello Brother,04-20-1994,E.V.V. Satyanarayana,0,0,0,0
2420,tt0358914,Aavida Maa Aavide,01-14-1998,E.V.V. Satyanarayana,0,0,0,0
1730,tt2990346,Goppinti Alludu,07-21-2000,E.V.V. Satyanarayana,0,0,0,0
1885,tt1579764,Evadi Gola Vadide,01-21-2005,E.V.V. Satyanarayana,0,0,0,0
2257,tt3449978,Nuvvante Nakistam,08-12-2005,E.V.V. Satyanarayana,0,0,0,0
2146,tt1606217,Fitting Master,01-14-2009,E.V.V. Satyanarayana,0,0,0,0
2781,tt1616533,Bendu Apparao RMP,10-16-2009,E.V.V. Satyanarayana,0,0,0,0
1369,tt14850172,Asking for It,06-13-2021,Eamon O'Rourke,0,0,0,0
2138,tt14212508,Why Me 2021,05-12-2021,"Earlena Brown, Dellguan Coleman",0,0,0,0
428,tt2562146,Hanukkah,12-26-2019,Eben McGarr,0,0,0,0
938,tt2504402,Shir too Shir,02-10-2012,Ebrahim Forouzesh,0,0,0,0
1824,tt1313230,Be name pedar,08-09-2006,Ebrahim Hatamikia,0,0,0,0
3140,tt0816176,Shaam-e aroosi,07-05-2006,Ebrahim Vahidzadeh,0,0,0,0
2270,tt2396046,Der Weg des Ruhms,10-15-2011,Eckhart Schmidt,0,0,0,0
3886,tt0250485,L.A.P.D.: To Protect and to Serve,10-09-2001,Ed Anders,0,0,0,0
1256,tt0343129,Unchained Memories: Readings from the Slave Narratives,01-01-2003,"Ed Bell, Thomas Lennon",0,0,0,0
2298,tt0082362,The Fan,05-15-1981,Ed Bianchi,"$3,082,096",5683385.024,0,0
1922,tt0475380,Scenes of a Sexual Nature,11-03-2006,Ed Blum,0,0,0,0
3074,tt0382028,Fat Slags,10-15-2004,Ed Bye,0,0,0,0
205,tt2034139,The Last Exorcism Part II,03-01-2013,Ed Gass-Donnelly,"$15,179,302",17741568.18,0,0
833,tt4680980,Lavender,03-03-2017,Ed Gass-Donnelly,0,0,15179302,4259750.519
431,tt0082291,Dream On!,10-01-1981,Ed Harker,0,0,0,0
2127,tt0183659,Pollock,03-23-2001,Ed Harris,"$8,598,593",12227199.25,0,0
1880,tt0800308,Appaloosa,10-03-2008,Ed Harris,"$20,211,394",25755379.37,8598593,118468.1235
1718,tt2130147,Border Protection Squad,11-30-2015,Ed Kavalee,0,0,0,0
1198,tt0304328,Levity,08-29-2003,Ed Solomon,"$209,695",289337.161,0,0
2707,tt0460812,Griffin & Phoenix,01-18-2007,Ed Stone,0,0,0,0
1427,tt0097930,Murder Story,09-21-1989,"Eddie Arno, Markus Innocenti",0,0,0,0
1849,tt4940336,Risen,08-20-2021,Eddie Arya,0,0,0,0
2302,tt0376713,Kung kasalanan man,06-21-1989,Eddie Garcia,0,0,0,0
3052,tt10896398,Boogie,03-05-2021,Eddie Huang,"$4,178,620",4178620,0,0
2423,tt0096489,Yu Ta Fu chuan ji,09-23-1988,Eddie Ling-Ching Fong,0,0,0,0
1542,tt0097481,Harlem Nights,11-17-1989,Eddie Murphy,"$60,864,870",101960830.2,0,0
1628,tt0978670,The Neighbor,11-28-2008,Eddie O'Flaherty,0,0,0,0
2301,tt3014078,Shangri-La Suite,10-28-2016,Eddie O'Keefe,"$14,073",15557.7015,0,0
1046,tt0108264,Sweet Killing,06-16-1993,Eddy Matalon,0,0,0,0
499,tt5088378,Alberta,03-09-2017,"Eddy Terstall, Erik Wünsch",0,0,0,0
4180,tt0104471,I'll Love You Forever... Tonight,02-01-1992,Edgar Michael Bravo,0,0,0,0
2065,tt3889118,Virados do Avesso,11-27-2014,Edgar Pêra,0,0,0,0
3673,tt0365748,Shaun of the Dead,09-24-2004,Edgar Wright,"$13,542,874",18400702.9,0,0
2056,tt0425112,Hot Fuzz,04-20-2007,Edgar Wright,"$23,637,265",30619713.08,13542874,124797.8127
943,tt0446029,Scott Pilgrim vs. the World,08-13-2010,Edgar Wright,"$32,777,690",40385391.85,37180139,607919.4359
511,tt3890160,Baby Driver,06-28-2017,Edgar Wright,"$107,825,862",116926364.8,69957829,9842494.04
1552,tt9639470,Last Night in Soho,10-29-2021,Edgar Wright,0,0,177783691,126768858.8
1635,tt5643398,La noche,04-18-2016,Edgardo Castro,0,0,0,0
1852,tt13540924,Las ranas,07-29-2021,Edgardo Castro,0,0,0,0
2344,tt0084037,One Man's War,02-24-1984,Edgardo Cozarinsky,0,0,0,0
3372,tt2947064,Chasing Gold,04-15-2016,Edmond G Coisson,0,0,0,0
2586,tt2133333,The Color of Time,12-09-2014,"Edna Luise Biesold, Sarah-Violet Bliss, Gabrielle Demeestere",0,0,0,0
890,tt5259496,Indivisibili,09-29-2016,Edoardo De Angelis,0,0,0,0
3835,tt0289668,Between Strangers,09-13-2002,Edoardo Ponti,0,0,0,0
1724,tt10545470,Au nom de la terre,09-25-2019,Edouard Bergeon,0,0,0,0
413,tt6330052,Gauguin - Voyage de Tahiti,09-20-2017,Edouard Deluc,"$200,140",217031.816,0,0
1257,tt0087525,Just the Way You Are,11-16-1984,Édouard Molinaro,"$7,889,694",14049178.11,0,0
2293,tt0088715,Love on the Quiet,02-27-1985,Édouard Molinaro,0,0,7889694,37.25463894
927,tt0115638,Beaumarchais l'insolent,10-17-1997,Édouard Molinaro,0,0,7889694,0.007137289603
2459,tt1220894,Mozlym,04-15-2008,Edreace Purmul,0,0,0,0
829,tt1843202,The Pelayos,04-27-2012,Eduard Cortés,0,0,0,0
980,tt0092184,Horvatov izbor,01-08-1985,Eduard Galic,0,0,0,0
2570,tt0499467,Elipsis,02-02-2007,Eduardo Arias-Nath,0,0,0,0
1018,tt4946336,Hunting Season,06-07-2016,Eduardo Castrillo,0,0,0,0
3484,tt0110788,Passagem por Lisboa,09-30-1994,Eduardo Geada,0,0,0,0
1711,tt2815924,Z.U.G.A.,04-01-2013,Eduardo Lopez Lopez,0,0,0,0
1697,tt1919090,Stash House,05-11-2012,Eduardo Rodriguez,0,0,0,0
3363,tt0185897,Ave María,05-12-2000,Eduardo Rossoff,0,0,0,0
331,tt1315924,Reencarnación: Una historia de amor,05-24-2013,Eduardo Rossoff,0,0,0,0
3002,tt1893371,Los ilusionautas,01-26-2012,Eduardo Schuldt,0,0,0,0
2856,tt0487543,Allende los volcanes: Iztaccihuatl y Popocateptl,10-10-2005,Eduardo Zafra,0,0,0,0
2529,tt0163721,Liv Ullmann scener fra et liv,08-08-1997,Edvard Hambro,0,0,0,0
1042,tt8269566,En del av mitt hjärta,12-25-2019,Edward af Sillén,0,0,0,0
247,tt1016150,All Quiet on the Western Front,11-11-2016,Edward Berger,0,0,0,0
1973,tt8811474,All My Loving,05-23-2019,Edward Berger,0,0,0,0
4436,tt0117628,She's the One,08-23-1996,Edward Burns,"$9,538,948",14570743.07,0,0
4288,tt0119560,No Looking Back,03-27-1998,Edward Burns,"$222,099",329883.6447,9538948,3987.829856
812,tt0239986,Sidewalks of New York,11-30-2001,Edward Burns,"$2,402,652",3416571.144,9761047,266.4036161
1845,tt0280438,Ash Wednesday,03-19-2004,Edward Burns,"$2,942",3997.2954,12163699,7948.606749
3006,tt0401593,Looking for Kitty,05-06-2004,Edward Burns,"$4,480",6086.976,12166641,27.78981357
850,tt10855380,Beneath the Blue Suburban Skies,09-07-2019,Edward Burns,0,0,12171121,2996.235249
1863,tt7026270,Summertime,08-24-2021,Edward Burns,0,0,12171121,2996.235249
1111,tt0308251,Faux Pas,09-01-2001,Edward Chitate,0,0,0,0
2014,tt11762434,Cosmic Sin,03-12-2021,Edward Drake,0,0,0,0
1550,tt14174168,Gasoline Alley,02-01-2022,Edward Drake,0,0,0,0
1806,tt10334148,Blithe Spirit,02-19-2021,Edward Hall,"$282,500",282500,0,0
1373,tt1543843,Slap the Donkey,08-01-2009,Edward J. Harris II,0,0,0,0
318,tt0103671,American Me,03-13-1992,Edward James Olmos,"$13,086,430",21094016.52,0,0
938,tt7894510,The Devil Has a Name,10-16-2020,Edward James Olmos,0,0,13086430,14765811.56
2970,tt0915463,Jackboots on Whitehall,07-26-2011,"Edward McHenry, Rory McHenry",0,0,0,0
2515,tt0171433,Keeping the Faith,04-14-2000,Edward Norton,"$37,047,880",53463795.63,0,0
2091,tt0385887,Motherless Brooklyn,11-01-2019,Edward Norton,"$9,277,736",9669256.459,37047880,26197259.86
1668,tt1199552,Dog Jack,08-29-2010,Edward T. McDougal,0,0,0,0
2426,tt0235166,Against All Hope,10-20-2017,Edward T. McDougal,0,0,0,0
911,tt0179443,Rancid Aluminium,01-21-2000,Edward Thomas,0,0,0,0
461,tt0091355,Kong bu fen zi,12-19-1986,Edward Yang,0,0,0,0
1493,tt0090583,About Last Night...,07-02-1986,Edward Zwick,"$38,702,310",67283965.94,0,0
2237,tt0097441,Glory,02-16-1990,Edward Zwick,"$26,979,166",44626238.48,38702310,1061.575343
3670,tt0110322,Legends of the Fall,01-13-1995,Edward Zwick,"$66,638,883",103196974.2,65681476,4189.379018
2491,tt0115956,Courage Under Fire,07-12-1996,Edward Zwick,"$59,031,057",90169939.57,132320359,13839.9842
2830,tt0133952,The Siege,11-06-1998,Edward Zwick,"$40,981,289",60869508.55,191351416,24682.17077
111,tt0325710,The Last Samurai,12-05-2003,Edward Zwick,"$111,127,263",153333397.5,232332705,99160.92821
2103,tt0450259,Blood Diamond,12-08-2006,Edward Zwick,"$57,377,916",75538026.41,343459968,728430.5087
1384,tt1034303,Defiance,01-16-2009,Edward Zwick,"$28,644,813",35897679.65,400837884,1055625.934
939,tt0758752,Love & Other Drugs,11-24-2010,Edward Zwick,"$32,367,005",39879386.86,429482697,730687.5938
3254,tt1596345,Pawn Sacrifice,09-25-2015,Edward Zwick,"$2,436,633",2745110.738,461849702,4777734.649
1611,tt3393786,Jack Reacher: Never Go Back,10-21-2016,Edward Zwick,"$58,697,076",64889617.52,464286335,1264364.624
1761,tt3263946,Trial by Fire,05-17-2019,Edward Zwick,"$148,504",154770.8688,522983411,32415451.25
1428,tt1411762,Pastor Shepherd,04-16-2010,Edwin L. Marshall,0,0,0,0
453,tt9889072,The Promise,07-28-2017,Edwine Dorival,0,0,0,0
